STENCH,Stench
DRIZZLE,Drizzle
SPEEDBOOST,Speed Boost
BATTLEARMOR,Battle Armor
STURDY,Sturdy
DAMP,Damp
LIMBER,Limber
SANDVEIL,Sand Veil
STATIC,Static
VOLTABSORB,Volt Absorb
WATERABSORB,Water Absorb
OBLIVIOUS,Oblivious
CLOUDNINE,Cloud Nine
COMPOUNDEYES,Compound Eyes
INSOMNIA,Insomnia
COLORCHANGE,Color Change
IMMUNITY,Immunity
FLASHFIRE,Flash Fire
SHIELDDUST,Shield Dust
OWNTEMPO,Own Tempo
SUCTIONCUPS,Suction Cups
INTIMIDATE,Intimidate
SHADOWTAG,Shadow Tag
ROUGHSKIN,Rough Skin
WONDERGUARD,Wonder Guard
LEVITATE,Levitate
EFFECTSPORE,Effect Spore
SYNCHRONIZE,Synchronize
CLEARBODY,Clear Body
NATURALCURE,Natural Cure
LIGHTNINGROD,Lightning Rod
SERENEGRACE,Serene Grace
SWIFTSWIM,Swift Swim
CHLOROPHYLL,Chlorophyll
ILLUMINATE,Illuminate
TRACE,Trace
HUGEPOWER,Huge Power
POISONPOINT,Poison Point
INNERFOCUS,Inner Focus
MAGMAARMOR,Magma Armor
WATERVEIL,Water Veil
MAGNETPULL,Magnet Pull
SOUNDPROOF,Soundproof
RAINDISH,Rain Dish
SANDSTREAM,Sand Stream
PRESSURE,Pressure
THICKFAT,Thick Fat
EARLYBIRD,Early Bird
FLAMEBODY,Flame Body
RUNAWAY,Run Away
KEENEYE,Keen Eye
HYPERCUTTER,Hyper Cutter
PICKUP,Pickup
TRUANT,Truant
HUSTLE,Hustle
CUTECHARM,Cute Charm
PLUS,Plus
MINUS,Minus
FORECAST,Forecast
STICKYHOLD,Sticky Hold
SHEDSKIN,Shed Skin
GUTS,Guts
MARVELSCALE,Marvel Scale
LIQUIDOOZE,Liquid Ooze
OVERGROW,Overgrow
BLAZE,Blaze
TORRENT,Torrent
SWARM,Swarm
ROCKHEAD,Rock Head
DROUGHT,Drought
ARENATRAP,Arena Trap
VITALSPIRIT,Vital Spirit
WHITESMOKE,White Smoke
PUREPOWER,Pure Power
SHELLARMOR,Shell Armor
AIRLOCK,Air Lock
TANGLEDFEET,Tangled Feet
MOTORDRIVE,Motor Drive
RIVALRY,Rivalry
STEADFAST,Steadfast
SNOWCLOAK,Snow Cloak
GLUTTONY,Gluttony
ANGERPOINT,Anger Point
UNBURDEN,Unburden
HEATPROOF,Heatproof
SIMPLE,Simple
DRYSKIN,Dry Skin
DOWNLOAD,Download
IRONFIST,Iron Fist
POISONHEAL,Poison Heal
ADAPTABILITY,Adaptability
SKILLLINK,Skill Link
HYDRATION,Hydration
SOLARPOWER,Solar Power
QUICKFEET,Quick Feet
NORMALIZE,Normalize
SNIPER,Sniper
MAGICGUARD,Magic Guard
NOGUARD,No Guard
STALL,Stall
TECHNICIAN,Technician
LEAFGUARD,Leaf Guard
KLUTZ,Klutz
MOLDBREAKER,Mold Breaker
SUPERLUCK,Super Luck
AFTERMATH,Aftermath
ANTICIPATION,Anticipation
