REPEL,Repel
SUPERREPEL,Super Repel
MAXREPEL,Max Repel
BLACKFLUTE,Black Flute
WHITEFLUTE,White Flute
HONEY,Honey
REDSHARD,Red Shard
YELLOWSHARD,Yellow Shard
BLUESHARD,Blue Shard
GREENSHARD,Green Shard
FIRESTONE,Fire Stone
THUNDERSTONE,Thunder Stone
WATERSTONE,Water Stone
LEAFSTONE,Leaf Stone
MOONSTONE,Moon Stone
SUNSTONE,Sun Stone
DUSKSTONE,Dusk Stone
DAWNSTONE,Dawn Stone
SHINYSTONE,Shiny Stone
ICESTONE,Ice Stone
SWEETAPPLE,Sweet Apple
TARTAPPLE,Tart Apple
CRACKEDPOT,Cracked Pot
CHIPPEDPOT,Chipped Pot
GALARICACUFF,Galarica Cuff
GALARICAWREATH,Galarica Wreath
REDAPRICORN,Red Apricorn
YELLOWAPRICORN,Yellow Apricorn
BLUEAPRICORN,Blue Apricorn
GREENAPRICORN,Green Apricorn
PINKAPRICORN,Pink Apricorn
WHITEAPRICORN,White Apricorn
BLACKAPRICORN,Black Apricorn
HELIXFOSSIL,Helix Fossil
DOMEFOSSIL,Dome Fossil
OLDAMBER,Old Amber
ROOTFOSSIL,Root Fossil
CLAWFOSSIL,Claw Fossil
SKULLFOSSIL,Skull Fossil
ARMORFOSSIL,Armor Fossil
COVERFOSSIL,Cover Fossil
PLUMEFOSSIL,Plume Fossil
JAWFOSSIL,Jaw Fossil
SAILFOSSIL,Sail Fossil
FOSSILIZEDBIRD,Fossilized Bird
FOSSILIZEDFISH,Fossilized Fish
FOSSILIZEDDRAKE,Fossilized Drake
FOSSILIZEDDINO,Fossilized Dino
PRETTYFEATHER,Pretty Feather
TINYMUSHROOM,Tiny Mushroom
BIGMUSHROOM,Big Mushroom
BALMMUSHROOM,Balm Mushroom
PEARL,Pearl
BIGPEARL,Big Pearl
PEARLSTRING,Pearl String
STARDUST,Stardust
STARPIECE,Star Piece
COMETSHARD,Comet Shard
NUGGET,Nugget
BIGNUGGET,Big Nugget
HEARTSCALE,Heart Scale
SLOWPOKETAIL,Slowpoke Tail
RAREBONE,Rare Bone
RELICCOPPER,Relic Copper
RELICSILVER,Relic Silver
RELICGOLD,Relic Gold
RELICVASE,Relic Vase
RELICBAND,Relic Band
RELICSTATUE,Relic Statue
RELICCROWN,Relic Crown
GROWTHMULCH,Growth Mulch
DAMPMULCH,Damp Mulch
STABLEMULCH,Stable Mulch
GOOEYMULCH,Gooey Mulch
SHOALSALT,Shoal Salt
SHOALSHELL,Shoal Shell
ODDKEYSTONE,Odd Keystone
REDNECTAR,Red Nectar
YELLOWNECTAR,Yellow Nectar
PINKNECTAR,Pink Nectar
PURPLENECTAR,Purple Nectar
AIRBALLOON,Air Balloon
BRIGHTPOWDER,Bright Powder
EVIOLITE,Eviolite
FLOATSTONE,Float Stone
DESTINYKNOT,Destiny Knot
ROCKYHELMET,Rocky Helmet
ASSAULTVEST,Assault Vest
SAFETYGOGGLES,Safety Goggles
PROTECTIVEPADS,Protective Pads
HEAVYDUTYBOOTS,Heavy-Duty Boots
UTILITYUMBRELLA,Utility Umbrella
EJECTBUTTON,Eject Button
EJECTPACK,Eject Pack
REDCARD,Red Card
SHEDSHELL,Shed Shell
SMOKEBALL,Smoke Ball
LUCKYEGG,Lucky Egg
EXPSHARE,Exp. Share
AMULETCOIN,Amulet Coin
SOOTHEBELL,Soothe Bell
CLEANSETAG,Cleanse Tag
CHOICEBAND,Choice Band
CHOICESPECS,Choice Specs
CHOICESCARF,Choice Scarf
HEATROCK,Heat Rock
DAMPROCK,Damp Rock
SMOOTHROCK,Smooth Rock
ICYROCK,Icy Rock
TERRAINEXTENDER,Terrain Extender
LIGHTCLAY,Light Clay
GRIPCLAW,Grip Claw
BINDINGBAND,Binding Band
BIGROOT,Big Root
BLACKSLUDGE,Black Sludge
LEFTOVERS,Leftovers
SHELLBELL,Shell Bell
MENTALHERB,Mental Herb
WHITEHERB,White Herb
POWERHERB,Power Herb
ABSORBBULB,Absorb Bulb
CELLBATTERY,Cell Battery
LUMINOUSMOSS,Luminous Moss
SNOWBALL,Snowball
WEAKNESSPOLICY,Weakness Policy
BLUNDERPOLICY,Blunder Policy
THROATSPRAY,Throat Spray
ADRENALINEORB,Adrenaline Orb
ROOMSERVICE,Room Service
ELECTRICSEED,Electric Seed
GRASSYSEED,Grassy Seed
MISTYSEED,Misty Seed
PSYCHICSEED,Psychic Seed
LIFEORB,Life Orb
EXPERTBELT,Expert Belt
METRONOME,Metronome
MUSCLEBAND,Muscle Band
WISEGLASSES,Wise Glasses
RAZORCLAW,Razor Claw
SCOPELENS,Scope Lens
WIDELENS,Wide Lens
ZOOMLENS,Zoom Lens
KINGSROCK,King's Rock
RAZORFANG,Razor Fang
LAGGINGTAIL,Lagging Tail
QUICKCLAW,Quick Claw
FOCUSBAND,Focus Band
FOCUSSASH,Focus Sash
FLAMEORB,Flame Orb
TOXICORB,Toxic Orb
STICKYBARB,Sticky Barb
IRONBALL,Iron Ball
RINGTARGET,Ring Target
MACHOBRACE,Macho Brace
POWERWEIGHT,Power Weight
POWERBRACER,Power Bracer
POWERBELT,Power Belt
POWERLENS,Power Lens
POWERBAND,Power Band
POWERANKLET,Power Anklet
LAXINCENSE,Lax Incense
FULLINCENSE,Full Incense
LUCKINCENSE,Luck Incense
PUREINCENSE,Pure Incense
SEAINCENSE,Sea Incense
WAVEINCENSE,Wave Incense
ROSEINCENSE,Rose Incense
ODDINCENSE,Odd Incense
ROCKINCENSE,Rock Incense
CHARCOAL,Charcoal
MYSTICWATER,Mystic Water
MAGNET,Magnet
MIRACLESEED,Miracle Seed
NEVERMELTICE,Never-Melt Ice
BLACKBELT,Black Belt
POISONBARB,Poison Barb
SOFTSAND,Soft Sand
SHARPBEAK,Sharp Beak
TWISTEDSPOON,Twisted Spoon
SILVERPOWDER,Silver Powder
HARDSTONE,Hard Stone
SPELLTAG,Spell Tag
DRAGONFANG,Dragon Fang
BLACKGLASSES,Black Glasses
METALCOAT,Metal Coat
SILKSCARF,Silk Scarf
FLAMEPLATE,Flame Plate
SPLASHPLATE,Splash Plate
ZAPPLATE,Zap Plate
MEADOWPLATE,Meadow Plate
ICICLEPLATE,Icicle Plate
FISTPLATE,Fist Plate
TOXICPLATE,Toxic Plate
EARTHPLATE,Earth Plate
SKYPLATE,Sky Plate
MINDPLATE,Mind Plate
INSECTPLATE,Insect Plate
STONEPLATE,Stone Plate
SPOOKYPLATE,Spooky Plate
DRACOPLATE,Draco Plate
DREADPLATE,Dread Plate
IRONPLATE,Iron Plate
PIXIEPLATE,Pixie Plate
FIREGEM,Fire Gem
WATERGEM,Water Gem
ELECTRICGEM,Electric Gem
GRASSGEM,Grass Gem
ICEGEM,Ice Gem
FIGHTINGGEM,Fighting Gem
POISONGEM,Poison Gem
GROUNDGEM,Ground Gem
FLYINGGEM,Flying Gem
PSYCHICGEM,Psychic Gem
BUGGEM,Bug Gem
ROCKGEM,Rock Gem
GHOSTGEM,Ghost Gem
DRAGONGEM,Dragon Gem
DARKGEM,Dark Gem
STEELGEM,Steel Gem
FAIRYGEM,Fairy Gem
NORMALGEM,Normal Gem
LIGHTBALL,Light Ball
LUCKYPUNCH,Lucky Punch
METALPOWDER,Metal Powder
QUICKPOWDER,Quick Powder
THICKCLUB,Thick Club
LEEK,Leek
SOULDEW,Soul Dew
DEEPSEATOOTH,Deep Sea Tooth
DEEPSEASCALE,Deep Sea Scale
ADAMANTORB,Adamant Orb
LUSTROUSORB,Lustrous Orb
GRISEOUSORB,Griseous Orb
RUSTEDSWORD,Rusted Sword
RUSTEDSHIELD,Rusted Shield
DOUSEDRIVE,Douse Drive
SHOCKDRIVE,Shock Drive
BURNDRIVE,Burn Drive
CHILLDRIVE,Chill Drive
FIREMEMORY,Fire Memory
WATERMEMORY,Water Memory
ELECTRICMEMORY,Electric Memory
GRASSMEMORY,Grass Memory
ICEMEMORY,Ice Memory
FIGHTINGMEMORY,Fighting Memory
POISONMEMORY,Poison Memory
GROUNDMEMORY,Ground Memory
FLYINGMEMORY,Flying Memory
PSYCHICMEMORY,Psychic Memory
BUGMEMORY,Bug Memory
ROCKMEMORY,Rock Memory
GHOSTMEMORY,Ghost Memory
DRAGONMEMORY,Dragon Memory
DARKMEMORY,Dark Memory
STEELMEMORY,Steel Memory
FAIRYMEMORY,Fairy Memory
EVERSTONE,Everstone
DRAGONSCALE,Dragon Scale
UPGRADE,Upgrade
DUBIOUSDISC,Dubious Disc
PROTECTOR,Protector
ELECTIRIZER,Electirizer
MAGMARIZER,Magmarizer
REAPERCLOTH,Reaper Cloth
PRISMSCALE,Prism Scale
OVALSTONE,Oval Stone
WHIPPEDDREAM,Whipped Dream
SACHET,Sachet
STRAWBERRYSWEET,Strawberry Sweet
LOVESWEET,Love Sweet
BERRYSWEET,Berry Sweet
CLOVERSWEET,Clover Sweet
FLOWERSWEET,Flower Sweet
STARSWEET,Star Sweet
RIBBONSWEET,Ribbon Sweet
VENUSAURITE,Venusaurite
