MEGAHORN,Megahorn
ATTACKORDER,Attack Order
BUGBUZZ,Bug Buzz
FIRSTIMPRESSION,First Impression
POLLENPUFF,Pollen Puff
LEECHLIFE,Leech Life
LUNGE,Lunge
XSCISSOR,X-Scissor
SIGNALBEAM,Signal Beam
SKITTERSMACK,Skitter Smack
UTURN,U-turn
STEAMROLLER,Steamroller
BUGBITE,Bug Bite
SILVERWIND,Silver Wind
FELLSTINGER,Fell Stinger
STRUGGLEBUG,Struggle Bug
FURYCUTTER,Fury Cutter
PINMISSILE,Pin Missile
TWINEEDLE,Twineedle
INFESTATION,Infestation
DEFENDORDER,Defend Order
HEALORDER,Heal Order
POWDER,Powder
QUIVERDANCE,Quiver Dance
RAGEPOWDER,Rage Powder
SPIDERWEB,Spider Web
STICKYWEB,Sticky Web
STRINGSHOT,String Shot
TAILGLOW,Tail Glow
HYPERSPACEFURY,Hyperspace Fury
FOULPLAY,Foul Play
FIERYWRATH,Fiery Wrath
DARKESTLARIAT,Darkest Lariat
NIGHTDAZE,Night Daze
CRUNCH,Crunch
DARKPULSE,Dark Pulse
FALSESURRENDER,False Surrender
JAWLOCK,Jaw Lock
THROATCHOP,Throat Chop
WICKEDBLOW,Wicked Blow
LASHOUT,Lash Out
NIGHTSLASH,Night Slash
SUCKERPUNCH,Sucker Punch
KNOCKOFF,Knock Off
ASSURANCE,Assurance
BITE,Bite
BRUTALSWING,Brutal Swing
FEINTATTACK,Feint Attack
THIEF,Thief
SNARL,Snarl
PAYBACK,Payback
PURSUIT,Pursuit
BEATUP,Beat Up
FLING,Fling
POWERTRIP,Power Trip
PUNISHMENT,Punishment
DARKVOID,Dark Void
EMBARGO,Embargo
FAKETEARS,Fake Tears
FLATTER,Flatter
HONECLAWS,Hone Claws
MEMENTO,Memento
NASTYPLOT,Nasty Plot
OBSTRUCT,Obstruct
PARTINGSHOT,Parting Shot
QUASH,Quash
SNATCH,Snatch
SWITCHEROO,Switcheroo
TAUNT,Taunt
TOPSYTURVY,Topsy-Turvy
TORMENT,Torment
ETERNABEAM,Eternabeam
DRAGONENERGY,Dragon Energy
ROAROFTIME,Roar of Time
DRACOMETEOR,Draco Meteor
OUTRAGE,Outrage
CLANGINGSCALES,Clanging Scales
COREENFORCER,Core Enforcer
DRAGONRUSH,Dragon Rush
DYNAMAXCANNON,Dynamax Cannon
SPACIALREND,Spacial Rend
DRAGONHAMMER,Dragon Hammer
DRAGONPULSE,Dragon Pulse
DRAGONCLAW,Dragon Claw
BREAKINGSWIPE,Breaking Swipe
DRAGONBREATH,Dragon Breath
DRAGONTAIL,Dragon Tail
DRAGONDARTS,Dragon Darts
DUALCHOP,Dual Chop
TWISTER,Twister
SCALESHOT,Scale Shot
DRAGONRAGE,Dragon Rage
CLANGOROUSSOUL,Clangorous Soul
DRAGONDANCE,Dragon Dance
BOLTSTRIKE,Bolt Strike
VOLTTACKLE,Volt Tackle
ZAPCANNON,Zap Cannon
